นิวยอร์ก	newˑyɔ̂ɔk
ค	khɔɔ
พ	phɔɔ
ตะ	tà
สมิธ	saˑmít
ไนล่อน	naiˑlɔ̀ɔn
ศ	sɔ̌ɔ
เยอรมัน	yəəˑraˑman
ยน	yon
มกรา	maˑkaˑraa
สุริวงศ์	sùˑríˑwoŋ
โคโลราโด	khooˑlooˑraaˑdoo
คนที่	khon thîi
กว่านี้	kwàa níi
กะโปรง	kàˑprooŋ
กุมภา	kumˑphaa
แก	kɛɛ
ขวบ	khùap
แคปปิตอล	khɛɛˑpìˑtɔɔn
จอร์จ	cɔ̀ɔt
จอห์น	cɔ̀ɔn
จัซแม็ก	càtˑmɛ́k
จิม	cim
เจนนี่	ceenˑnîi
โจ	coo
ชาว	chaaw
ชื้	chúu
ใช่	chây
ณัฐชานันท์	nátˑchaaˑnan
ด็อกเตอร์	dɔ̀kˑtəə
ดา	daa
ดิ๊ก	dìk
ดิชั้น	dìˑchán
ดีด	dìit
ดีน	diin
เดนเวอร์	deenˑwəə
เดวิด	deeˑwít
ตะเช้า	tàˑcháaw
เตหะราน	teeˑhàˑraan
ท็อป	thóp
ทอม	thɔɔm
ที่	thîi
โท	thoo
โทมัส	thooˑmát
โทรมา	thoo maa
ธันวา	thanˑwaa
นงค์ลักษณ์	noŋˑlák
นานาภัณฑ์	naaˑnaaˑphan
นิวเดลี	niwˑdeeˑlii
นิวยอร์ค	niwˑyɔ̂ɔk
นี่	nîi
ไนลอน	naiˑlɔ̀ɔn
บก	bòk
บราวน์	braaw
บอกว่า	bɔ̀ɔk wâa
บอสตัน	bɔ̀ɔtˑtan
บิลล์	bin
แบ๊งค์	bɛ́ɛŋ
โบว์ลิ่ง	booˑlíŋ
ปาร์คเกอร์	pàakˑkəə
ผิด	phìt
พฤศจิกา	phrʉ́tˑsaˑcìˑkaa
พฤษภา	phrʉ́tˑsaˑphaa
พลาซ่า	phlaaˑsâa
พหลโยธิน	phaˑhǒnˑyooˑthin
พัฒน์พงษ์	phátˑphoŋ
พันธ์	phan
พิชัย	phíˑchay
พิมภา	phimˑphaa
เพนซิลวาเนีย	phenˑsinˑwaaˑnia
เพนตากอน	phenˑtaaˑkɔɔn
เพรสฃิเด้นท์	phrêetˑsíˑdên
ฟลอริดา	flɔɔˑríˑdaa
ฟอร์ด	fɔɔt
เฟร็ด	frét
มกรา	maˑkaˑraa
มลายู	maˑlaˑyuu
มอนเทอเรย์	mɔɔnˑthəəˑree
มะลิ	máˑlí
มะลิกา	máˑlíˑkaa
คอมันตร์	khɔɔˑman
มิชชั่น	mítˑchân
มิตสุ	mítˑsù
มิถุนา	míˑthùˑnaa
มิสซิส	mítˑsít
มิสเตอร์	mítˑtəə
แบ๊งค์	bɛ́ɛŋ
เมษา	meeˑsǎa
แมรี่	mɛɛˑrîi
แมสซาชูเซตส์	mɛ̂ɛtˑsaaˑchuuˑsêet
ไม่สนุก	mâyˑsaˑnùk
ยี่สิบ	yîiˑsìp
ยู	yuu
ยูซอม	yuuˑsɔɔm
ยูซิส	yuuˑsít
เยล	yeen
ร่วมฤดี	rûamˑrʉ́ˑdii
รัสค์	rát
ราชดำริ	râatˑdamˑrí
รึ	rʉ́
โรม	room
ละครับ	láˑkhráp
ลักส์	lák
ลิโด้	líˑdôo
ลิฟท์	líp
ลึ	lʉ́
เล็คเชอร์	lékˑchəə
แล็บ	lɛ́p
วิชัย	wíˑchay
เวสต์	wêet
เวอร์จิเนีย	wəəˑcìˑnia
เวียดนาม	wîatˑnaam
ไวท์	wai
สนุก	saˑnùk
สปริงฟีลด์	saˑpriŋˑfiin
สปอร์ต	saˑpɔ̀ɔt
สวิส	saˑwìt
สหรัฐ	saˑhaˑrát
สาธร	sǎaˑthɔɔn
สิ	sì
สี่	sìi
สุขุมวิท	sùˑkhǔmˑwít
หนังคิงส์	nǎŋˑkhiŋ
หนา	nǎa
หนามาก	nǎa mâak
หลือ	lʉ̌ʉ̌
หอม ลักส์	hɔ̌ɔm lák
อนุโรจน์	aˑnúˑrôot
อะพาร์ตเมนต์	àˑpháatˑméen
อมรินทร์	aˑmaˑrin
อเมริกัน	aˑmeeˑríˑkan
อเมริกา	aˑmeeˑríˑkaa
อังรีดูนังต์	aŋˑriiˑduuˑnaŋ
อัมพร	amˑphɔɔn
อัมรินทร์	aˑmaˑrin
อาร์	aa
อาร์ซีเอ	aaˑsiiˑee
อารีย์	aaˑrii
อินเตอร์	inˑtəə
อิมพิเรียล	imˑphíˑrian
อื่น	ʉ̀ʉn
อุบล	ʉ̀ˑbon
เอ	ee
เอ็กซ์	èk
เอเธนส์	eeˑthen
เอฟ	èep
เอฟ	èep
เอส	èet
ไอ	ai
เอราวัณ	eeˑraaˑwan
เออ	əə
สาม	sǎam
แอปเปิ้ล	ɛ̀ɛpˑpə̂ən
แอร์	ɛɛ
ฟรานซ์	fraan
โอกินาวา	ooˑkìˑnaaˑwaa
โอเรียนเต็ล	ooˑrianˑten
โอ้ว	ôow
ไอเบ็ก	aiˑbèk
ไอปานา	aiˑpaaˑmaa
!!!!	!!!!
เยือก	yʉ̂ak
ผู้	phûu
ฝอก	fɔ̌ɔk
เศรษฐการ	sèetˑ​thaˑ​kaan
คลินิค	khliˑník
ประ	prà
แก๊ซ	kɛ́ɛt
เยื้อง	yʉ́aŋ
ราสเบอร์รี่	râatˑbəəˑrîi
รับประทาร	rápˑpràˑthaan
สวาด	saˑwàat
ดคี	kháˑdii
แสด	sɛ̀ɛt
เหลือง	lʉ̌aŋ
สปริง	saˑpriŋ
โอ	oo
ยื้อยุด	yʉ́ʉˑyút
ยุยง	yúˑyoŋ
ยุแยงตะแคงรั่ว	yúˑyɛɛŋˑtàˑkhɛɛŋˑrûa
ยุแยง	yúˑyɛɛŋ
ยุแหย่	yúˑyɛ̀ɛ
ยุ่ย	yûy
ยุ้ย	yúy
อยู่ยืด	yùuˑyʉ̂ʉt
อยู่โยง	yùuˑyooŋ
อยู่ยงคงกระพัน	yùuˑyoŋˑkhoŋˑkràˑphan
ยู่ยี่	yûuˑyîi
อยู่เหย้าเฝ้าเรือน	yùuˑyâwˑfâwˑrʉan
อยู่ยาม	yùuˑyaam
ยูวี	yuuˑwii
อยู่เวร	yùuˑween
อยู่ตัว	yùuˑtua
อยู่ท้อง	yùuˑthɔ́ɔŋ
อยู่ร่วม	yùuˑrûam
อยู่รอด	yùuˑrɔ̂ɔt
ยูพีเอส	yuuˑphiiˑéet
ยูนิเซฟ	yuuˑníˑséep
อยู่งาน	yùuˑŋaan
ยูง	yuuŋ
ยูเนสโก	yuuˑnéetˑkoo
อยู่ในเส้นทาง	yùuˑnayˑsênˑthaaŋ
อยู่ในเกณฑ์	yùuˑnayˑkeen
อยู่ไม่สุข	yùuˑmâyˑsùk
อยู่หมัด	yùuˑmàt
อยู่มือ	yùuˑmʉʉ
หยูกยา	yùukˑyaa
อยู่กิน	yùuˑkin
อยู่กับที่	yùuˑkàpˑthîi
อยู่กรรม	yùuˑkam
อยู่ห่างๆ	yùuˑhàaŋˑhàaŋ
อยู่ไฟ	yùuˑfay
ยูเอ็น	yuuˑen
ยูเอชที	yuuˑéetˑthii
ยูเอฟโอ	yuuˑéepˑoo
อยู่ดีกินดี	yùuˑdiiˑkinˑdii
อยู่ดีๆ	yùuˑdiiˑdii
อยู่อาศัย	yùuˑaaˑsǎy
อยู่	yùu
หยุดยั้ง	yùtˑyáŋ
ยุทธวิธี	yútˑthaˑwíˑthii
ยุทธศาสตร์	yútˑthaˑsàat
ยุทธการ	yútˑthaˑkaan
หยุดพัก	yùtˑphák
หยุดปัญหา	yùtˑpanˑhǎa
หยุดนิ่ง	yùtˑnîŋ
หยุดงาน	yùtˑŋaan
หยุดกึก	yùtˑkʉ̀k
ยุติธรรม	yúˑtìˑtham
ยุติปัญหา	yúˑtìˑpanˑhǎa
ยุติ	yúˑtì
หยุดชั่วคราว	yùtˑchûaˑkhraaw
หยุดชะงัก	yùtˑcháˑŋák
หยุด	yùt
ยุด	yút
ยุโรปตะวันตก	yúˑròopˑtàˑwanˑtòk
ยุโรปตะวันออก	yúˑrôopˑtàˑwanˑɔ̀ɔk
ยุโรป	yúˑròop
ยุบยับ	yúpˑyáp
ยุบตัว	yúpˑtua
ยุบสภา	yúpˑsaˑphaa
ยุบ	yúp
ยุ่งยิ่ง	yûŋˑyîŋ
ยุ่งเหยิง	yûŋˑyə̌əŋ
ยุ่งยาก	yûŋˑyâak
ยุงลาย	yuŋˑlaay
ยุงก้นปล่อง	yuŋˑkônˑplɔ̀ŋ
ยุ่งเกี่ยว	yûŋˑkìaw
ยุ้งข้าว	yúŋˑkhâaw
ยุ้งฉาง	yúŋˑchǎaŋ
ยุ่ง	yûŋ
ยุ้ง	yúŋ
ยุง	yuŋ
หยุมหยิม	yǔmˑyǐm
ยุ่มย่าม	yûmˑyâam
หยุกหยิก	yùkˑyìk
ยุคสมัย	yúkˑsaˑmǎy
ยุคปัจจุบัน	yúkˑpàtˑcùˑban
ยุคมืด	yúkˑmʉ̂ʉt
ยุคใหม่	yúkˑmày
ยุคก่อนประวัติศาสตร์	yúkˑkɔ̀ɔnˑpràˑwàtˑsàat
ยุคเก่า	yúkˑkàw
ยุคหิน	yúkˑhǐn
ยุค	yúk
ยั่วยวนใจ	yûaˑyuanˑcay
ยั่วยวน	yûaˑyuan
ยั่วยุ	yûaˑyú
ยั้วเยี้ย	yûaˑyía
ยั่วเย้า	yûaˑyáw
ย้วย	yûay
ยวดยง	yûatˑyoŋ
ยวดยิ่ง	yûatˑyîŋ
ยวดยาน	yûatˑyaan
ยวด	yûat
ยวบๆ	yûapˑyûap
ยวบยาบ	yûapˑyâap
ยวบ	yûap
ยวนยี	yuanˑyii
ยวง	yuaŋ
ญวน	yuan
ยั่วโมโห	yûaˑmooˑhǒo
ยั่วใจ	yûaˑcay
ยั้ว	yûa
ยั่ว	yûa
ยุ	yú
ยืดหยุ่น	yʉ̂ʉtˑyùn
ยืดยาว	yʉ̂ʉtˑyaaw
ยืดยาด	yʉ̂ʉtˑyaat
ยืดเยื้อ	yʉ̂ʉtˑyʉ́a
ยืดเวลา	yʉ̂ʉtˑweeˑlaa
ยึดติด	yʉ́tˑtìt
ยึดถือ	yʉ́tˑthʉ̌ʉ
ยึดทรัพย์	yʉ́tˑsáp
ยึดเหนี่ยว	yʉ́tˑnìaw
ยึดมั่น	yʉ́tˑmân
ยึดหลัก	yʉ́tˑlàk
ยึดครอง	yʉ́tˑkhrɔɔŋ
ยึดอำนาจ	yʉ́tˑamˑnâat
ยืดอายุ	yʉ̂ʉtˑaaˑyú
ยืด	yʉ̂ʉt
ยึด	yʉ́t
ย่อยยับ	yɔ̂yˑyáp
เยาะเย้ย	yɔ́ˑyə́əy
เหยาะแหยะ	yɔ̀ˑyɛ̀
เหยาะย่าง	yɔ̀ˑyâaŋ
ย่อย	yɔ̂y
หยอย	yɔ̌y
หยดย้อย	yòtˑyɔ́ɔy
ยศอย่าง	yótˑyàaŋ
ยศศักดิ์	yótˑsàk
หยดน้ำ	yòtˑnáam
หยด	yòt
ยศ	yót
ยธ	yót
ย่อหย่อน	yɔ̂ɔˑyɔ̀n
ย่อย่น	yɔ̂ɔˑyôn
ย่อแหยง	yɔ̂ɔˑyɛ̌ɛŋ
ย่อแย่	yɔ̂ɔˑyɛ̂ɛ
โยเย	yooˑyee
ย้อย	yɔ́ɔy
ยอดเยี่ยม	yɔ̂ɔtˑyîam
ยอดสร้อย	yɔ̂ɔtˑsɔ̂y
ยอดรวม	yɔ̂ɔtˑruam
ยอดรัก	yɔ̂ɔtˑrák
ยอดนิยม	yɔ̂ɔtˑníˑyom
ยอดเงิน	yɔ̂ɔtˑŋən
ยอดน้ำ	yɔ̂ɔtˑnám
ยอดไม้	yɔ̂ɔtˑmáy
ยอดเขา	yɔ̂ɔtˑkhǎw
ยอดขาย	yɔ̂ɔtˑkhǎay
ยอดการขาย	yɔ̂ɔtˑkaanˑkhǎay
ย่อท้อ	yɔ̂ɔˑthɔ́ɔ
ยอดฮิต	yɔ̂ɔtˑhít
ยอดด้วน	yɔ̂ɔtˑdûan
ยอดดี	yɔ̂ɔtˑdii
ยอดจั่ว	yɔ̂ɔtˑcùa
ยอดจำหน่าย	yɔ̂ɔtˑcamˑnàay
ยอด	yɔ̂ɔt
หยอด	yɔ̀ɔt
ย่อส่วน	yɔ̂ɔˑsùan
ยอแสง	yɔɔˑsɛ̌ɛŋ
ยอบแยบ	yɔ̂ɔpˑyɛ̂ɛp
ย่อพล	yɔ̂ɔˑphon
ยอบ	yɔ̂ɔp
ย้อนยอก	yɔ́ɔnˑyɔ̂ɔk
โยนทิ้ง	yoonˑthíŋ
ย้อนถาม	yɔ́ɔnˑthǎam
ย้อนรอย	yɔ́ɔnˑrɔɔy
ย้อนหลัง	yɔ́ɔnˑlǎŋ
ย้อนกลับ	yɔ́ɔnˑklàp
โยนความผิด	yoonˑkhwaamˑphìt
โยนี	yooˑnii
ยองๆ	yɔɔŋˑyɔɔŋ
โย่งเย่ง	yôoŋˑyêeŋ
ยองใย	yɔɔŋˑyay
โยงใย	yooŋˑyay
ย้อง	yɔ́ɔŋ
ยอง	yɔɔŋ
โย่ง	yôoŋ
โหย่ง	yòoŋ
โยง	yooŋ
ย่อหน้า	yɔ̂ɔˑnâa
ย้อน	yɔ́ɔn
หยอน	yɔ̌ɔn
ยอน	yɔɔn
โยน	yoon
ย่อมุม	yɔ̂ɔˑmum
ยอมตาม	yɔɔmˑtaam
ย้อมสี	yɔ́ɔmˑsǐi
ยอมสยบ	yɔɔmˑsaˑyòp
ยอมรับผิด	yɔɔmˑrápˑphìt
ยอมรับ	yɔɔmˑráp
ยอมแพ้	yɔɔmˑphɛ́ɛ
ยอมความ	yɔɔmˑkhwaam
ยอมให้	yɔɔmˑhây
ย้อมใจ	yɔ́ɔmˑcay
ยอมจำนน	yɔɔmˑcamˑnon
ย้อม	yɔ́ɔm
ยอม	yɔɔm
โยม	yoom
ยอกย้อน	yɔ̂ɔkˑyɔ́ɔn
โยกเยก	yôokˑyêek
โหยกเหยก	yòokˑyèek
หยอกเย้า	yɔ̀ɔkˑyáw
โยกย้าย	yookˑyáay
หยอกล้อ	yɔ̀ɔkˑlɔ́ɔ
โยกโคลง	yôokˑkhlooŋ
ย่อความ	yɔ̂ɔˑkhwaam
โยคี	yooˑkhii
ย่อเข่า	yɔ̂ɔˑkhàw
หยอกเอิน	yɔ̀ɔkˑəən
ยอก	yɔ̂ɔk
หยอก	yɔ̀ɔk
โยก	yôok
ย่อ	yɔ̂ɔ
ยอ	yɔɔ
โย้	yóo
ย่นย่อ	yônˑyɔ̂ɔ
หย่อนยาน	yɔ̀nˑyaan
ย่นเวลา	yônˑweeˑlaa
ยงยุทธ์	yoŋˑyút
ยงโย่	yoŋˑyôo
ย่องแย่ง	yɔ̂ŋˑyɛ̂ŋ
ย่องกริบ	yɔ̂ŋˑkrìp
ย่องเบา	yɔ̂ŋˑbaw
ย่อง	yɔ̂ŋ
หย่อง	yɔ̀ŋ
หย็อง	yɔ̌ŋ
โหยง	yǒoŋ
หย่ง	yòŋ
หย่อนใจ	yɔ̀nˑcay
หย่อนอารมณ์	yɔ̀nˑaaˑrom
หย่อน	yɔ̀n
ย่น	yôn
ยล	yon
ย่อมๆ	yɔ̂mˑyɔ̂m
หยอมแหยม	yɔ̌mˑyɛ̌m
หย็อมแหย็ม	yɔ̌mˑyɛ̌m
ย่อมเยา	yɔ̂mˑyaw
ยมทูต	yomˑmaˑthûut
ยมทัณฑ์	yomˑmaˑthan
ยมราช	yomˑmaˑrâat
ยมนา	yomˑmaˑnaa
ยมโลก	yomˑmaˑlôok
ยมบาล	yomˑmaˑbaan
ย่อม	yɔ̂m
หย่อม	yɔ̀m
ยม	yom
ยกยอด	yókˑyɔ̂ɔt
ยกยอ	yókˑyɔɔ
ยกย่องนับถือ	yókˑyɔ̂ŋˑnápˑthʉ̌ʉ
ยกย่องชมเชย	yókˑyɔ̂ŋˑchomˑchəəy
ยกย่อง	yókˑyɔ̂ŋ
หยกๆ	yòkˑyòk
ย็อกแย็ก	yɔ́kˑyɛ́k
ยกใหญ่	yókˑyày
ยกเว้น	yókˑwéen
ยกไว้	yókˑwáy
ยกตัวอย่างเช่น	yókˑtuaˑyàaŋˑchên
ยกตัวอย่าง	yókˑtuaˑyàaŋ
ยกตัว	yókˑtua
ยกตนข่มท่าน	yókˑtonˑkhòmˑthân
ยกโทษให้	yókˑthôotˑhây
ยกโทษ	yókˑthôot
ยกธงขาว	yókˑthoŋˑkhǎaw
ยกธง	yókˑthoŋ
ยกทัพ	yókˑtháp
ยกฐานะ	yókˑthǎaˑná
ยกทรง	yókˑsoŋ
ยกระดับ	yókˑráˑdàp
ยกพวก	yókˑphûak
ยกพล	yókˑphon
ยกพื้น	yókˑphʉ́ʉn
ยกนิ้วให้	yókˑníwˑhây
ยกนิ้ว	yókˑníw
ยกน้ำหนัก	yókˑnámˑnàk
ยกเมฆ	yókˑmêek
ยกมือ	yókˑmʉʉ
ยกเลิก	yókˑlə̂ək
ยกกระบัตร	yókˑkràˑbàt
ยกครู	yókˑkhruu
ยกเครื่อง	yókˑkhrʉ̂aŋ
ยกขึ้น	yókˑkhʉ̂n
ยกโขยง	yókˑkhaˑyǒoŋ
ยกเค้า	yókˑkháw
ยกแก้ว	yókˑkɛ̂ɛw
ยกกำลัง	yókˑkamˑlaŋ
ยกฟ้อง	yókˑfɔ́ɔŋ
ยก	yók
เยาะ	yɔ́
เหยาะ	yɔ̀
ยืนยง	yʉʉnˑyoŋ
ยืนหยัด	yʉʉnˑyàt
ยืนยัน	yʉʉnˑyan
ยืนยาว	yʉʉnˑyaaw
ยื่นซองขาว	yʉ̂ʉnˑsɔɔŋˑkhǎaw
ยื่นเสนอ	yʉ̂ʉnˑsaˑnə̌ə
ยืนนาน	yʉʉnˑnaan
ยื่นมือ	yʉ̂ʉnˑmʉʉ
ยืนกราน	yʉʉnˑkraan
ยื่นคำร้อง	yʉ̂ʉnˑkhamˑrɔ́ɔŋ
ยื่นคำขาด	yʉ̂ʉnˑkhamˑkhàat
ยื่น	yʉ̂ʉn
ยืน	yʉʉn
ยืม	yʉʉm
ยึกยัก	yʉ́kˑyák
ยึกยือ	yʉ́kˑyʉʉ
ยิว	yiw
หยิบโหย่ง	yìpˑyòoŋ
หยิบหย่ง	yìpˑyòŋ
หยิบยก	yìpˑyók
หยิบยื่น	yìpˑyʉ̂ʉn
หยิบยืม	yìpˑyʉʉm
ยิบๆ	yípˑyíp
ยิบตา	yípˑtaa
หยิบฉวย	yìpˑchǔay
หยิบ	yìp
ยิบ	yíp
ญิบ	yíp
ยินยอมพร้อมใจ	yinˑyɔɔmˑphrɔ́ɔmˑcay
ยินยอม	yinˑyɔɔm
ยิ่งยวด	yîŋˑyûat
ยิ่งหย่อน	yîŋˑyɔ̀n
ยิ่งใหญ่	yîŋˑyày
หยิ่งยโส	yìŋˑyaˑsǒo
หยิ่งยะโส	yìŋˑyáˑsǒo
หญิงโสด	yǐŋˑsòot
หญิงสาว	yǐŋˑsǎaw
ยิงปืน	yiŋˑpʉʉn
หยิ่งผยอง	yìŋˑphaˑyɔɔŋ
ยิ่งไปกว่านั้น	yîŋˑpayˑkwàaˑnán
หยิ่งในศักดิ์ศรี	yìŋˑnayˑsàkˑsǐi
ยิ่งนัก	yîŋˑnák
ยิ่งกว่านั้น	yîŋˑkwàaˑnán
ยิ่งกว่า	yîŋˑkwàa
ยิงกราด	yiŋˑkràat
ยิ่งขึ้นไป	yîŋˑkhʉ̂nˑpay
ยิ่งขึ้น	yîŋˑkhʉ̂n
ยิงคำถาม	yiŋˑkhamˑthǎam
หญิงขายบริการ	yǐŋˑkhǎayˑbɔɔˑríˑkaan
หญิงหากิน	yǐŋˑhǎaˑkin
หญิง	yǐŋ
ยิ่ง	yîŋ
หยิ่ง	yìŋ
ยิง	yiŋ
ยินดี	yinˑdii
หยิมๆ	yǐmˑyǐm
ยิ้มแย้มแจ่มใส	yímˑyɛ́ɛmˑcɛ̀mˑsǎy
ยิ้มแย้ม	yímˑyɛ́ɛm
ยิ้มแป้น	yímˑpɛ̂n
ยิ้มแฉ่ง	yímˑchɛ̀ŋ
ยิ้ม	yím
หยิกหยอง	yìkˑyɔ̌ŋ
หยิกงอ	yìkˑŋɔɔ
หยิกแกมหยอก	yìkˑkɛɛmˑyɔ̀ɔk
หยิก	yìk
ยียวน	yiiˑyuan
ยีสต์	yíit
ญี่ปุ่น	yîiˑpùn
ยี่เก	yîiˑkee
ยี่ห้อ	yîiˑhɔ̂ɔ
หยี	yǐi
ยี้	yíi
ยี	yii
เยียวยา	yiawˑyaa
เหยี่ยวข่าว	yìawˑkhàaw
เยี่ยว	yîaw
เยียดยัด	yîatˑyát
เหยียดหยัน	yìatˑyǎn
เหยียดยาว	yìatˑyaaw
เหยียดหยาม	yìatˑyǎam
เหยียดผิว	yìatˑphǐw
เหยียด	yìat
เหยียบย่ำ	yìapˑyâm
เหยียบย่าง	yìapˑyâaŋ
เหยียบคันเร่ง	yìapˑkhanˑrêŋ
เหยียบจมูก	yìapˑcaˑmùuk
เหยียบ	yìap
เยี่ยงอย่าง	yîaŋˑyàaŋ
เยี่ยง	yîaŋ
เยี่ยมยอด	yîamˑyɔ̂ɔt
เยี่ยมเยียน	yîamˑyian
เยี่ยมเยือน	yîamˑyʉan
เยี่ยม	yîam
เยอะแยะ	yə́ˑyɛ́
เย็บผ้า	yépˑphâa
เย็บปักถักร้อย	yépˑpàkˑthàkˑrɔ́ɔy
เย็บปาก	yépˑpàak
เย็บเล่ม	yépˑlêm
เย็บ	yép
เย็นย่ำ	yenˑyâm
เย็นสบาย	yenˑsaˑbaay
แหย่ง	yɛ̀ŋ
เย็นเจี๊ยบ	yenˑcíap
เย็นเฉียบ	yenˑchìap
เย็นฉ่ำ	yenˑchàm
เย็นชา	yenˑchaa
เย็น	yen
เย้ยหยัน	yə́əyˑyǎn
เย่อหยิ่ง	yə̂əˑyìŋ
เย้ย	yə́əy
แยแส	yɛɛˑsɛ̌ɛ
เยอรมนี	yəəˑraˑmáˑnii
แยบยล	yɛ̂ɛpˑyon
เยินยอ	yəənˑyɔɔ
แย่งตำแหน่ง	yɛ̂ɛŋˑtamˑnɛ̀ŋ
แย้งกันอยู่ในตัว	yɛ́ɛŋˑkanˑyùuˑnayˑtua
แย่งชิง	yɛ̂ɛŋˑchiŋ
แย้ง	yɛ́ɛŋ
แย่ง	yɛ̂ɛŋ
แหยง	yɛ̌ɛŋ
แยง	yɛɛŋ
เหยง	yěeŋ
เยิน	yəən
แย้มพราย	yɛ́ɛmˑphraay
แย่มาก	yɛ̂ɛˑmâak
แย้ม	yɛ́ɛm
แหยม	yɛ̌ɛm
แยม	yɛɛm
แยกย่อย	yɛ̂ɛkˑyɔ̂y
แยกแยะ	yɛ̂ɛkˑyɛ́
แยกย้าย	yɛ̂ɛkˑyáay
แยกตัว	yɛ̂ɛkˑtua
แยกทาง	yɛ̂ɛkˑthaaŋ
แยกส่วน	yɛ̂ɛkˑsùan
แยกเรือน	yɛ̂ɛkˑrʉan
แยกร่าง	yɛ̂ɛkˑrâaŋ
แยกประเภท	yɛ̂ɛkˑpràˑphêet
แยกกัน	yɛ̂ɛkˑkan
เหยเก	yěeˑkee
แยกจาก	yɛ̂ɛkˑcàak
แยก	yɛ̂ɛk
แย่	yɛ̂ɛ
แหย่	yɛ̀ɛ
แหย	yɛ̌ɛ
เหย	yěe
เย้	yée
แยะ	yɛ́
แหยะ	yɛ̀
เยอะ	yə́
ใหญ่โตมโหฬาร	yàyˑtooˑmaˑhǒoˑlaan
ใหญ่โต	yàyˑtoo
ไยไพ	yayˑphay
ใยแมงมุม	yayˑmɛɛŋˑmum
ใหญ่หลวง	yàyˑlǔaŋ
ใยแก้ว	yayˑkɛ̂ɛw
ไยดี	yayˑdii
เยื่อใย	yʉ̂aˑyay
ยะเยือก	yáˑyʉ̂ak
ใหญ่	yày
ใย	yay
เย้ายวนใจ	yáwˑyuanˑcay
เย้ายวน	yáwˑyuan
เย้าหยอก	yáwˑyɔ̀ɔk
เย้าแหย่	yáwˑyɛ̀ɛ
เยาวชน	yawˑwaˑchon
เหย้าเรือน	yâwˑrʉan
เย้า	yáw
ยัดเยียด	yátˑyîat
ยัติภังค์	yátˑtìˑphaŋ
ญัตติ	yátˑtì
ยติภังค์	yaˑtìˑphaŋ
ยถากรรม	yaˑthǎaˑkam
ยัดห่า	yátˑhàa
หยัด	yàt
ยัด	yát
ยโสธร	yaˑsǒoˑthɔɔn
ยโส	yaˑsǒo
ยับยู่ยี่	yápˑyûuˑyîi
ยับย่อย	yápˑyɔ̂y
ยับเยิน	yápˑyəən
ยับยั้งชั่งใจ	yápˑyáŋˑchâŋˑcay
ยับยั้ง	yápˑyáŋ
ยับ	yáp
ยรรยง	yanˑyoŋ
ยัญพิธี	yanˑyaˑphíˑthii
ยัญกรรม	yanˑyaˑkam
ยันตรกรรม	yanˑtraˑkam
ยันเต	yanˑtee
ยั่งยืน	yâŋˑyʉʉn
เยื้องยัก	yʉ́aŋˑyák
เยื้องย่าง	yʉ́aŋˑyâaŋ
หยั่งถึง	yàŋˑthʉ̌ŋ
หยั่งท่าที	yàŋˑthâaˑthii
หยั่งเสียง	yàŋˑsǐaŋ
หยั่งทราบ	yàŋˑsâap
หยั่งรู้	yàŋˑrúu
หยั่งราก	yàŋˑrâak
ยังผล	yaŋˑphǒn
ยังงี้	yaŋˑŋíi
ยังไง	yaŋˑŋay
ยังงั้น	yaŋˑŋán
